"verbatimWhereabouts"
"Hilgard 220"
""
"Hilo Boys (in packing box)"
"Hilo Boys"
"Hilgard220"
"HIlgard 220"
"Hillgard 220"
"Higard 220"
"UHH"
"BERKELEY"
"NNNNN"
"berkeley?"
"UUH"
"FELL OFF FUNNEL?"
"1"
